x
                                Người thứ 1   Người thứ 2   Người thứ 3   Người thứ 4   Người thứ 5   Người thứ 6   Người thứ 7   Người thứ 8   Người thứ 9   Người thứ 10   Kết quả trung bình
Lần lấy mẫu giả lập thứ 756              71            60            56            73            45            60            69            69            73             49                 62.5
Lần lấy mẫu giả lập thứ 757              49            73            56            69            88            56            71            45            60             45                 61.2
Lần lấy mẫu giả lập thứ 758              69            71            89            56            55            45            88            71            45             88                 67.7
Lần lấy mẫu giả lập thứ 759              89            88            69            88            69            49            49            73            45             56                 67.5
Lần lấy mẫu giả lập thứ 760              55            55            45            56            73            88            89            60            71             71                 66.3
Lần lấy mẫu giả lập thứ 761              89            89            89            49            71            49            88            45            71             89                 72.9
Lần lấy mẫu giả lập thứ 762              49            60            88            73            89            69            69            69            71             55                 69.2
Lần lấy mẫu giả lập thứ 763              60            69            89            45            55            60            69            69            60             73                 64.9
Lần lấy mẫu giả lập thứ 764              89            88            69            89            69            89            89            45            73             45                 74.5
Lần lấy mẫu giả lập thứ 765              73            56            55            89            71            69            56            73            55             88                 68.5
Lần lấy mẫu giả lập thứ 766              49            88            55            69            88            55            56            55            49             71                 63.5
Lần lấy mẫu giả lập thứ 767              71            55            69            88            60            69            71            49            49             49                 63.0
Lần lấy mẫu giả lập thứ 768              45            55            55            69            49            88            60            73            71             60                 62.5
Lần lấy mẫu giả lập thứ 769              88            69            49            60            55            55            73            71            55             73                 64.8
Lần lấy mẫu giả lập thứ 770              49            45            71            89            73            71            69            55            69             89                 68.0
Lần lấy mẫu giả lập thứ 771              88            55            56            45            69            69            73            56            73             49                 63.3
Lần lấy mẫu giả lập thứ 772              56            56            56            71            49            45            89            71            69             73                 63.5
Lần lấy mẫu giả lập thứ 773              56            88            49            49            56            60            45            60            89             88                 64.0
Lần lấy mẫu giả lập thứ 774              88            88            73            45            73            89            69            69            49             88                 73.1
Lần lấy mẫu giả lập thứ 775              88            89            56            71            60            56            60            88            60             89                 71.7
Lần lấy mẫu giả lập thứ 776              88            45            56            55            71            73            89            88            73             71                 70.9
Lần lấy mẫu giả lập thứ 777              88            73            71            88            73            55            55            60            60             88                 71.1
Lần lấy mẫu giả lập thứ 778              88            71            45            73            55            71            60            88            56             73                 68.0
Lần lấy mẫu giả lập thứ 779              71            69            49            60            49            49            88            73            71             89                 66.8
Lần lấy mẫu giả lập thứ 780              45            71            73            45            69            73            89            88            71             71                 69.5
Lần lấy mẫu giả lập thứ 781              60            88            60            49            89            73            60            69            69             71                 68.8
Lần lấy mẫu giả lập thứ 782              45            73            60            55            89            56            88            55            89             88                 69.8
Lần lấy mẫu giả lập thứ 783              60            56            55            73            60            49            60            89            69             73                 64.4
Lần lấy mẫu giả lập thứ 784              73            89            55            55            71            60            88            49            89             55                 68.4
Lần lấy mẫu giả lập thứ 785              49            89            73            69            73            88            60            56            89             69                 71.5
Lần lấy mẫu giả lập thứ 786              56            73            49            60            56            60            60            69            49             89                 62.1
Lần lấy mẫu giả lập thứ 787              49            49            71            49            55            69            45            88            89             88                 65.2
Lần lấy mẫu giả lập thứ 788              49            73            88            69            73            69            89            71            49             69                 69.9
Lần lấy mẫu giả lập thứ 789              88            55            73            88            71            73            73            56            89             45                 71.1
Lần lấy mẫu giả lập thứ 790              69            69            71            89            88            45            49            49            73             71                 67.3
Lần lấy mẫu giả lập thứ 791              88            60            55            69            69            89            71            89            60             88                 73.8
Lần lấy mẫu giả lập thứ 792              56            71            89            60            60            60            69            88            55             55                 66.3
Lần lấy mẫu giả lập thứ 793              49            60            45            49            71            71            69            55            73             69                 61.1
Lần lấy mẫu giả lập thứ 794              55            89            60            89            45            56            56            71            71             89                 68.1
Lần lấy mẫu giả lập thứ 795              71            71            45            55            56            60            60            73            56             49                 59.6
Lần lấy mẫu giả lập thứ 796              60            60            88            49            55            89            88            69            89             56                 70.3
Lần lấy mẫu giả lập thứ 797              89            69            45            89            45            55            69            56            69             69                 65.5
Lần lấy mẫu giả lập thứ 798              69            73            55            71            73            89            88            49            89             49                 70.5
Lần lấy mẫu giả lập thứ 799              56            71            49            69            69            89            60            60            71             69                 66.3
Lần lấy mẫu giả lập thứ 800              55            49            73            88            88            71            69            69            45             60                 66.7
Lần lấy mẫu giả lập thứ 801              69            71            69            55            69            88            89            71            69             56                 70.6
Lần lấy mẫu giả lập thứ 802              56            89            45            49            55            88            60            89            88             88                 70.7
Lần lấy mẫu giả lập thứ 803              88            56            69            55            45            45            60            49            55             89                 61.1
Lần lấy mẫu giả lập thứ 804              60            73            89            60            89            73            56            89            49             69                 70.7
Lần lấy mẫu giả lập thứ 805              71            69            60            56            73            89            55            56            69             69                 66.7
Lần lấy mẫu giả lập thứ 806              49            49            73            89            49            60            73            89            73             73                 67.7
Lần lấy mẫu giả lập thứ 807              71            69            89            49            56            60            60            88            71             45                 65.8
Lần lấy mẫu giả lập thứ 808              45            73            88            60            69            73            49            73            56             69                 65.5
Lần lấy mẫu giả lập thứ 809              69            73            89            89            49            88            88            89            73             60                 76.7
Lần lấy mẫu giả lập thứ 810              56            45            71            88            55            60            56            49            55             60                 59.5
Lần lấy mẫu giả lập thứ 811              71            69            88            69            60            71            45            73            55             88                 68.9
Lần lấy mẫu giả lập thứ 812              45            49            69            55            45            56            73            73            71             88                 62.4
Lần lấy mẫu giả lập thứ 813              55            89            73            73            56            55            73            71            89             56                 69.0
Lần lấy mẫu giả lập thứ 814              89            73            88            55            73            49            69            55            71             60                 68.2
Lần lấy mẫu giả lập thứ 815              56            69            73            56            71            89            56            56            49             89                 66.4
Lần lấy mẫu giả lập thứ 816              60            49            71            60            60            89            60            56            88             69                 66.2
Lần lấy mẫu giả lập thứ 817              73            69            56            88            56            45            49            45            88             69                 63.8
Lần lấy mẫu giả lập thứ 818              49            88            55            56            73            45            55            88            49             60                 61.8
Lần lấy mẫu giả lập thứ 819              56            69            56            60            71            69            89            88            88             45                 69.1
Lần lấy mẫu giả lập thứ 820              60            55            55            88            49            49            73            71            73             55                 62.8
Lần lấy mẫu giả lập thứ 821              60            73            56            49            45            55            60            60            45             49                 55.2
Lần lấy mẫu giả lập thứ 822              89            73            60            88            49            60            55            73            55             45                 64.7
Lần lấy mẫu giả lập thứ 823              56            49            73            45            71            45            45            56            89             88                 61.7
Lần lấy mẫu giả lập thứ 824              60            45            56            71            73            60            55            49            60             71                 60.0
Lần lấy mẫu giả lập thứ 825              60            56            60            45            71            69            49            56            73             89                 62.8
Lần lấy mẫu giả lập thứ 826              73            89            60            55            60            69            60            69            69             55                 65.9
Lần lấy mẫu giả lập thứ 827              49            56            45            73            56            45            88            71            55             56                 59.4
Lần lấy mẫu giả lập thứ 828              60            88            71            49            60            89            71            49            55             56                 64.8
Lần lấy mẫu giả lập thứ 829              49            89            89            69            73            88            88            60            71             69                 74.5
Lần lấy mẫu giả lập thứ 830              71            45            71            69            45            60            88            73            71             60                 65.3
Lần lấy mẫu giả lập thứ 831              88            55            71            56            49            71            60            88            56             73                 66.7
Lần lấy mẫu giả lập thứ 832              55            55            69            88            60            89            45            73            69             56                 65.9
Lần lấy mẫu giả lập thứ 833              49            55            60            71            69            56            49            71            45             89                 61.4
Lần lấy mẫu giả lập thứ 834              45            88            56            69            88            55            49            56            56             89                 65.1
Lần lấy mẫu giả lập thứ 835              49            56            45            71            69            71            60            49            73             55                 59.8
Lần lấy mẫu giả lập thứ 836              60            73            56            60            73            55            89            69            60             49                 64.4
Lần lấy mẫu giả lập thứ 837              60            49            56            69            49            60            71            55            45             49                 56.3
Lần lấy mẫu giả lập thứ 838              45            49            88            69            73            71            55            89            89             45                 67.3
Lần lấy mẫu giả lập thứ 839              89            56            45            73            49            60            88            45            56             73                 63.4
Lần lấy mẫu giả lập thứ 840              49            49            55            60            71            71            49            55            49             89                 59.7
Lần lấy mẫu giả lập thứ 841              56            56            49            56            69            88            69            56            88             89                 67.6
Lần lấy mẫu giả lập thứ 842              49            89            45            88            88            60            49            89            71             49                 67.7
Lần lấy mẫu giả lập thứ 843              56            55            45            71            88            49            56            71            45             73                 60.9
Lần lấy mẫu giả lập thứ 844              56            73            49            45            60            88            88            49            56             45                 60.9
Lần lấy mẫu giả lập thứ 845              73            71            71            73            69            89            55            55            89             55                 70.0
Lần lấy mẫu giả lập thứ 846              69            55            89            55            89            88            71            71            56             55                 69.8
Lần lấy mẫu giả lập thứ 847              69            55            89            45            88            89            55            69            88             71                 71.8
Lần lấy mẫu giả lập thứ 848              56            60            89            60            73            73            73            55            69             49                 65.7
Lần lấy mẫu giả lập thứ 849              55            88            89            88            56            55            88            89            56             55                 71.9
Lần lấy mẫu giả lập thứ 850              56            89            56            89            89            55            60            49            45             89                 67.7
Lần lấy mẫu giả lập thứ 851              73            60            89            60            49            73            60            60            73             60                 65.7
Lần lấy mẫu giả lập thứ 852              49            71            73            71            88            73            88            69            45             71                 69.8
Lần lấy mẫu giả lập thứ 853              45            55            55            56            60            73            88            45            89             89                 65.5
Lần lấy mẫu giả lập thứ 854              49            45            45            56            71            71            73            88            49             45                 59.2
Lần lấy mẫu giả lập thứ 855              56            69            88            49            55            88            71            55            60             88                 67.9
Lần lấy mẫu giả lập thứ 856              69            73            69            49            55            71            49            71            88             71                 66.5
Lần lấy mẫu giả lập thứ 857              69            60            60            71            56            55            45            56            71             55                 59.8
Lần lấy mẫu giả lập thứ 858              60            89            73            69            60            45            60            89            71             60                 67.6
Lần lấy mẫu giả lập thứ 859              56            49            60            71            88            71            56            71            73             55                 65.0
Lần lấy mẫu giả lập thứ 860              71            71            49            56            55            89            60            89            55             73                 66.8
Lần lấy mẫu giả lập thứ 861              60            60            88            55            88            49            89            45            49             49                 63.2
Lần lấy mẫu giả lập thứ 862              89            71            88            73            73            73            60            60            49             45                 68.1
Lần lấy mẫu giả lập thứ 863              71            88            71            60            49            71            69            71            89             69                 70.8
Lần lấy mẫu giả lập thứ 864              71            45            45            71            89            45            89            60            45             60                 62.0
Lần lấy mẫu giả lập thứ 865              55            56            45            89            55            69            88            89            69             45                 66.0
Lần lấy mẫu giả lập thứ 866              60            88            73            60            88            55            55            88            71             88                 72.6
Lần lấy mẫu giả lập thứ 867              56            56            49            60            60            71            55            60            45             89                 60.1
Lần lấy mẫu giả lập thứ 868              60            73            56            89            56            49            88            60            45             71                 64.7
Lần lấy mẫu giả lập thứ 869              45            55            56            60            71            45            73            89            60             88                 64.2
Lần lấy mẫu giả lập thứ 870              73            55            69            89            71            69            49            56            56             73                 66.0
Lần lấy mẫu giả lập thứ 871              55            89            71            60            69            89            49            60            88             69                 69.9
Lần lấy mẫu giả lập thứ 872              60            56            55            56            60            89            88            71            89             55                 67.9
Lần lấy mẫu giả lập thứ 873              71            49            89            89            71            55            49            69            45             69                 65.6
Lần lấy mẫu giả lập thứ 874              49            73            45            71            56            89            49            56            71             49                 60.8
Lần lấy mẫu giả lập thứ 875              56            56            71            45            49            55            88            71            56             60                 60.7
Lần lấy mẫu giả lập thứ 876              45            73            89            89            60            71            56            88            69             49                 68.9
Lần lấy mẫu giả lập thứ 877              89            56            71            73            89            56            56            88            71             89                 73.8
Lần lấy mẫu giả lập thứ 878              45            56            88            88            55            88            88            71            71             49                 69.9
Lần lấy mẫu giả lập thứ 879              88            88            55            45            55            60            69            45            49             88                 64.2
Lần lấy mẫu giả lập thứ 880              56            55            56            69            71            69            71            56            49             73                 62.5
Lần lấy mẫu giả lập thứ 881              55            49            60            60            49            45            69            56            60             88                 59.1
Lần lấy mẫu giả lập thứ 882              73            49            55            49            56            45            88            60            88             56                 61.9
Lần lấy mẫu giả lập thứ 883              88            60            56            49            55            56            45            49            56             71                 58.5
Lần lấy mẫu giả lập thứ 884              69            60            69            60            45            55            56            69            56             60                 59.9
Lần lấy mẫu giả lập thứ 885              69            71            49            56            55            89            60            88            60             88                 68.5
Lần lấy mẫu giả lập thứ 886              88            56            73            49            60            69            56            49            56             56                 61.2
Lần lấy mẫu giả lập thứ 887              49            88            71            56            89            71            45            69            45             71                 65.4
Lần lấy mẫu giả lập thứ 888              45            45            71            56            49            73            88            88            73             88                 67.6
Lần lấy mẫu giả lập thứ 889              55            69            55            73            56            88            45            56            71             88                 65.6
Lần lấy mẫu giả lập thứ 890              69            49            49            45            71            60            55            73            69             56                 59.6
Lần lấy mẫu giả lập thứ 891              60            71            89            73            49            73            56            71            69             45                 65.6
Lần lấy mẫu giả lập thứ 892              73            49            45            89            71            56            73            69            73             60                 65.8
Lần lấy mẫu giả lập thứ 893              49            45            55            88            88            60            73            71            88             88                 70.5
Lần lấy mẫu giả lập thứ 894              60            56            69            89            69            73            56            89            49             55                 66.5
Lần lấy mẫu giả lập thứ 895              55            89            45            73            69            55            71            73            55             49                 63.4
Lần lấy mẫu giả lập thứ 896              49            55            88            49            89            89            56            73            55             89                 69.2
Lần lấy mẫu giả lập thứ 897              71            89            56            56            69            60            89            56            56             49                 65.1
Lần lấy mẫu giả lập thứ 898              49            55            45            49            71            88            88            45            89             88                 66.7
Lần lấy mẫu giả lập thứ 899              71            69            71            60            45            73            69            69            55             49                 63.1
Lần lấy mẫu giả lập thứ 900              49            71            56            49            88            71            88            89            89             88                 73.8
Lần lấy mẫu giả lập thứ 901              60            49            88            45            45            56            71            69            55             45                 58.3
Lần lấy mẫu giả lập thứ 902              71            88            45            49            73            69            45            60            88             89                 67.7
Lần lấy mẫu giả lập thứ 903              45            45            56            49            69            60            71            45            73             71                 58.4
Lần lấy mẫu giả lập thứ 904              71            71            69            55            69            45            69            49            49             71                 61.8
Lần lấy mẫu giả lập thứ 905              71            88            69            49            73            55            55            69            60             88                 67.7
Lần lấy mẫu giả lập thứ 906              55            88            89            49            73            73            60            88            69             60                 70.4
Lần lấy mẫu giả lập thứ 907              49            69            49            55            69            89            55            55            49             73                 61.2
Lần lấy mẫu giả lập thứ 908              55            56            56            55            88            89            88            49            55             45                 63.6
Lần lấy mẫu giả lập thứ 909              73            55            69            55            88            69            56            69            56             88                 67.8
Lần lấy mẫu giả lập thứ 910              60            49            56            55            71            56            69            55            55             49                 57.5
Lần lấy mẫu giả lập thứ 911              71            45            55            88            49            71            56            45            49             55                 58.4
Lần lấy mẫu giả lập thứ 912              89            55            69            56            49            55            88            73            45             45                 62.4
Lần lấy mẫu giả lập thứ 913              49            45            56            45            55            56            56            69            73             56                 56.0
Lần lấy mẫu giả lập thứ 914              71            60            55            55            55            71            88            56            60             55                 62.6
Lần lấy mẫu giả lập thứ 915              56            88            55            55            56            55            56            60            71             49                 60.1
Lần lấy mẫu giả lập thứ 916              55            88            71            73            71            69            89            49            69             49                 68.3
Lần lấy mẫu giả lập thứ 917              71            55            49            88            60            69            71            56            55             69                 64.3
Lần lấy mẫu giả lập thứ 918              49            56            45            73            56            73            89            73            49             69                 63.2
Lần lấy mẫu giả lập thứ 919              60            69            69            45            69            71            60            88            69             45                 64.5
Lần lấy mẫu giả lập thứ 920              88            73            89            88            89            71            60            88            49             60                 75.5
Lần lấy mẫu giả lập thứ 921              69            56            69            55            49            49            89            56            88             56                 63.6
Lần lấy mẫu giả lập thứ 922              60            89            73            73            60            89            69            69            89             89                 76.0
Lần lấy mẫu giả lập thứ 923              49            49            60            89            56            88            71            49            88             89                 68.8
Lần lấy mẫu giả lập thứ 924              60            56            69            88            60            49            69            69            56             55                 63.1
Lần lấy mẫu giả lập thứ 925              49            89            69            73            45            73            89            56            56             89                 68.8
Lần lấy mẫu giả lập thứ 926              49            69            45            89            89            55            45            55            71             69                 63.6
Lần lấy mẫu giả lập thứ 927              71            73            71            89            69            89            71            88            56             69                 74.6
Lần lấy mẫu giả lập thứ 928              69            49            71            71            56            49            56            73            49             45                 58.8
Lần lấy mẫu giả lập thứ 929              45            60            55            56            56            55            55            89            88             49                 60.8
Lần lấy mẫu giả lập thứ 930              49            45            88            88            73            69            73            55            45             69                 65.4
Lần lấy mẫu giả lập thứ 931              55            73            60            45            55            49            45            45            69             45                 54.1
Lần lấy mẫu giả lập thứ 932              60            71            69            73            73            69            88            89            55             45                 69.2
Lần lấy mẫu giả lập thứ 933              60            89            60            88            56            71            60            49            45             71                 64.9
Lần lấy mẫu giả lập thứ 934              60            60            89            49            60            88            60            73            45             73                 65.7
Lần lấy mẫu giả lập thứ 935              60            88            55            71            60            71            88            88            71             56                 70.8
Lần lấy mẫu giả lập thứ 936              55            89            69            55            88            71            49            49            49             45                 61.9
Lần lấy mẫu giả lập thứ 937              88            45            88            88            89            60            73            60            69             88                 74.8
Lần lấy mẫu giả lập thứ 938              45            73            45            56            49            88            60            69            88             71                 64.4
Lần lấy mẫu giả lập thứ 939              73            89            88            71            69            60            88            60            89             71                 75.8
Lần lấy mẫu giả lập thứ 940              89            73            49            73            49            45            56            71            45             69                 61.9
Lần lấy mẫu giả lập thứ 941              69            45            56            88            55            56            69            89            56             69                 65.2
Lần lấy mẫu giả lập thứ 942              56            73            45            89            45            60            49            89            69             56                 63.1
Lần lấy mẫu giả lập thứ 943              69            69            88            45            56            89            89            45            89             45                 68.4
Lần lấy mẫu giả lập thứ 944              88            45            71            60            73            49            45            60            69             88                 64.8
Lần lấy mẫu giả lập thứ 945              49            45            88            89            73            49            73            89            55             69                 67.9
Lần lấy mẫu giả lập thứ 946              45            73            89            71            73            55            88            69            45             56                 66.4
Lần lấy mẫu giả lập thứ 947              55            69            49            71            71            45            88            69            71             56                 64.4
Lần lấy mẫu giả lập thứ 948              71            55            49            55            60            49            55            45            56             89                 58.4
Lần lấy mẫu giả lập thứ 949              49            69            45            73            49            56            88            55            49             89                 62.2
Lần lấy mẫu giả lập thứ 950              88            71            55            71            69            60            60            69            88             71                 70.2
Lần lấy mẫu giả lập thứ 951              45            69            56            89            73            69            45            55            55             89                 64.5
Lần lấy mẫu giả lập thứ 952              89            73            89            88            89            45            56            73            60             49                 71.1
Lần lấy mẫu giả lập thứ 953              45            49            89            45            55            69            89            56            71             49                 61.7
Lần lấy mẫu giả lập thứ 954              55            89            45            69            89            55            55            55            71             56                 63.9
Lần lấy mẫu giả lập thứ 955              56            71            89            89            49            60            71            71            69             69                 69.4
Lần lấy mẫu giả lập thứ 956              73            56            56            60            88            71            60            89            89             56                 69.8
Lần lấy mẫu giả lập thứ 957              73            73            89            69            88            55            89            49            71             88                 74.4
Lần lấy mẫu giả lập thứ 958              45            56            49            89            55            45            56            55            45             56                 55.1
Lần lấy mẫu giả lập thứ 959              71            73            56            69            60            45            45            45            55             71                 59.0
Lần lấy mẫu giả lập thứ 960              71            60            69            88            89            60            69            49            69             89                 71.3
Lần lấy mẫu giả lập thứ 961              88            45            56            73            69            55            71            55            56             89                 65.7
Lần lấy mẫu giả lập thứ 962              71            55            69            60            60            73            69            60            69             55                 64.1
Lần lấy mẫu giả lập thứ 963              49            49            71            60            88            55            69            69            69             88                 66.7
Lần lấy mẫu giả lập thứ 964              88            55            71            49            73            88            60            69            89             89                 73.1
Lần lấy mẫu giả lập thứ 965              89            69            71            56            88            89            56            71            73             71                 73.3
Lần lấy mẫu giả lập thứ 966              45            69            56            88            56            55            60            73            69             73                 64.4
Lần lấy mẫu giả lập thứ 967              88            49            71            73            49            73            69            60            60             69                 66.1
Lần lấy mẫu giả lập thứ 968              55            45            45            71            69            55            71            45            55             89                 60.0
Lần lấy mẫu giả lập thứ 969              71            73            69            89            69            49            45            73            49             89                 67.6
Lần lấy mẫu giả lập thứ 970              55            45            60            55            45            45            71            60            73             88                 59.7
Lần lấy mẫu giả lập thứ 971              60            60            56            69            49            49            71            60            55             56                 58.5
Lần lấy mẫu giả lập thứ 972              55            73            89            69            45            69            55            49            55             89                 64.8
Lần lấy mẫu giả lập thứ 973              73            55            55            71            49            49            89            45            89             69                 64.4
Lần lấy mẫu giả lập thứ 974              56            73            69            89            56            56            73            88            49             71                 68.0
Lần lấy mẫu giả lập thứ 975              88            89            69            69            69            71            56            56            69             69                 70.5
Lần lấy mẫu giả lập thứ 976              60            73            71            71            88            56            49            89            45             69                 67.1
